a bad egg,sözünde durmayan
credit standing,kredi yağdayı
credit system,kredi jüyesi
credit target,kredi hedefi
credit terms,kredi şartları
credit,inanç,veresiye,nisiye,inanmak,güvenmek,itibar etmek,para yatırmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creditable,şerefli
crediting,kredi verme
creditor,kredi veren
creditors ledger,alacaklılar defteri
credits and titles,jenerik
creditworthiness,kredi almaya layık olma
credulity,saflık
credulous,herşeye inanan
creed,inanç
creek,çay
creel,cağlık
creep,sürünmek, kıl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creepage,akış
creeper,sürüngen bitki
creeping stem,sürüngen gövde
creeping,sürünen
creeps,(the ile) ürperti
creepy,tüyler ürpertici
cremate,(ölüyü) yakmak
cremation,ölüyü yakma
crematorium,ölülerin yakıldığı yer
crenate,tırtıllı
crenel,mazgal
crenellated,mazgallı
crenellation,mazgallı siper
creole,hem Avrupa hem de Afrika soyundan gelen (kişi)
creosote,katran ruhu
crepe de Chine,krepdöşin
crepe Georgette,krepjorjet
crepe paper,krepon kâğıdı
crepe rubber,krepsol
crepe suzette,krepsüzet
crepe yarn,krep ipliği
crepe,krep
crepitate,çatırdamak
crescendo,kreşendo
crescent wrench,ayarlı anahtar
crescent,hilâl
cresol,krezol
cress,tere
cresset,fener
crest,ibik
crestfallen,üzgün
cresyl,kresil
cresylic acid,kresilik asit
cretaceous period,kretase
cretaceous,tebeşirli
Cretan,Giritli
Crete,Girit adası
cretin,salak
cretinism,kretenizm
cretonne,kreton
crevasse,(buz/vb.de) derin yarık
crevice,(kaya/vb.de) çatlak
crew cut,asker tıraşı
crew,tayfa
crew-neck,hâkim yaka
crib,çocuk karyolası
cribbage,bir çeşit iskambil oyunu
cribriform,kalbur gibi
cribwork,kafes çatkı
crick,boyun tutulması
cricket,cırcırböceği
cricoid,halka şeklinde
crier,mübaşir
crime against humanity,insanlık suçu
crime rate,suç oranı
crime reporter,sakçı muhabiri
crime writer,cinayet romanları yazarı
crime,suç
Crimea,Kırım
criminal assault,ırza tecavüz
criminal contempt,mahkemeye hakaret
criminal conversation,zina
criminal court,ceza mahkemesi
criminal discretion,cezai ehliyet
criminal law,ceza hukuku
criminal liability,cezai sorumluluk
criminal medicine,adli tıp
criminal record,sabıka kaydı
criminal,suçla ilgili
criminality,suçluluk
criminology,suçbilim
crimp,kıvrım
crimson,koyu kırmızı
cringe,korkudan sinmek
cringle,radansa
crinite,kıllı
crinkle,buruşturmak
crinoid,denizlalesi
crinoline,çemberli etek
cripple,sakat
crippled,sakat
crisis,bunalım
crisp,gevrek
crispate,dalgalı
crispation,büklüm
crispy,gevrek
crisscross,çapraz çizgili
crista,kabartı
cristate,ibikli
cristobalite,kristobalit
criterion,ölçüt
critic,eleştirmen
critical angle,kritik açı
critical point,kritik çekit
critical range,kritik bölge
critical temperature,kritik sıcaklık
critical voltage,kritik gerilim
critical,kusur bulan
criticism,eleştiri
criticize,kusur bulmak
critique,eleştiri yazısı
croak,kurbağa sesi çıkartmak
Croat,Hırvat
Croatia,Hırvatistan
Croatian,Hırvatça
crochet hook,dantel tığı
crochet,tığ işi
crock,çanak
crockery,çanak
crocodile tears,sahte gözyaşları
crocodile,timsah
crocus,çiğdem
croft,küçük çiftlik
crofter,küçük toprak sahibi
croissant,ayçöreği
crone,kocakarı
crony,yakın arkadaş
crook,kanca
crooked,eğri
croon,yumuşak sesle (şarkı) söylemek
crop failure,bereketsiz ürün
crop insurance,ürün sigortası
crop plant,kültür bitkisi
crop rotation,ürün rotasyonu
crop up,birden meydana çıkmak
crop,ekin, yemek, (saç/kuyruk) kesmek, kırpmak, ekmek, ürün vermek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cropper,kırkma aleti
croquet,krikete benzer bir açık hava oyunu
crosier,piskopos asası
cross action,karşılıklı dava
cross check,çizgili çek
cross country race,kır koşusu
cross demand,karşı dava
cross member,travers
cross off,üstünü çizip çıkarmak
cross ones fingers,iyi şans dilemek
cross ones legs,ayak ayak üstüne atmak
cross ones mind,aklından geçmek
cross out,üstünü çizmek
cross rate,çapraz kur
cross ratio,çapraz oran
cross reference,gönderme
cross section,kesit
cross someones palm,bahşiş vermek
cross street,ara sokak
cross thet and dot theis,kılı kırk yapmak
cross,çarpı/artı işareti,(kol/bacak) kavuşturmak,üst üste atmak,karşı koymak,engellemek,melezlemek,kızgın,sinirli,ters,aksi,huysuz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross-border,sınır ötesi
cross-country race,kırkoşusu
cross-country,kırlar boyunca
cross-examine,çaprazlama sorguya çekmek
cross-eyed,şaşı
cross-fertilization,çaprazlama dölleme
cross-fertilize,çaprazlama yöntemiyle döllemek
cross-legged,bacak bacak üstüne atmış
cross-lode,enine damar
cross-pollination,çapraz tozlaşma
cross-purposes,farklı ve zıt amaçlar
cross-refer,okuru başka bir yere göndermek
cross-stitch,kanaviçe işi
cross-wind,yan rüzgâr
crossband,çaprazbant
crossbar,kol demiri
crossbeam,kiriş
crossbow,tatar yayı
crossbrace,çapraz gergi çubuğu
crossbracing,çapraz bağlantı
crossbred,melez
crossbreed,melez
crossbreeding,çaprazlama
crosscheck,(bir işlemin/yanıtın/vb.) sonucunu başka kaynaklardan ikinci kez kontrol etmek
crosscountry,kros
crosscut saw,çapraz testere
crosscut,enine kesiş
crosscutrents,zıt akımlar
crossed cheque,çizgili çek
crossed,çizgili
crossfall,enine eğim
crossfire,çapraz ateş
crosshatch,çapraz taramak
crosshatching,tarama
crosshead,piston kafası
crossing,deniz yolculuğu
crossover,geçit
crossroad,yan yol
crossroads,birkaç yolun kesiştiği yer
crosstalk,diyafoni
crosstree,kurcata
crosswalk,yaya geçidi
crosswind,karşı rüzgâr
crosswise,çapraz
crossword puzzle,çapraz bulmaca
crossword,bulmaca
crotch,kasık
crotchet,çeyrek nota
crotchety,(yaşlı) huysuz
croton oil,kroton yağı
croton,kroton
crotonyl,krotonil
crouch,çömelmek
croupier,krupiye
crow ones head off,koltukları kabarmak
crow,karga
crows-foot,göz kenarındaki kırışıklar
crowbar,demir kol
crowd out,sıkıştırarak çıkarmak
crowd,toplanmak
crowded profession,çok rağbet gören meslek
crowded,kalabalık
crowfoot,kazayağı
crown it all,tüy dikmek
crown jewels,hükümdarlığa ait mücevherler
crown land,krala ait toprak
crown prince,veliaht
crown,taç giydirmek, tepe, üst kısım, penny değerinde madeni para, şampiyonluk, mükemmellik, kusursuzluk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crowning achievement,parlak başarı
crowning,en son
crucial,çok önemli
crucible steel,pot çeliği
crucible,pota
crucify,çarmıha gererek öldürmek
crude fibre,ham elyaf
crude oil,ham petrol
crude petroleum,petrol
crude rate,kaba hız
crude tar,ham katran
crude,ham
crudely,kabaca
crudeness,kabalık
crudity,kabalık
cruel,acımasız
cruelty,acımasızlık
cruet,baharatlık
cruise,gemiyle gezmek
cruiser,bir ya da iki kamaralı büyük motor
cruising speed,seyir hızı
crumb,ekmek kırıntısı
crumble,dövmek,harap olmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crumbly,kolayca ufalanan
crummy,pis
crumpet,hamburger ekmeği
crumple,buruşturmak
crunch,çatır çutur yemek
crunchy,gevrek
cruse,testi
crush,ezmek
crusher,kırma makinesi
crushing,ezme
crust of the earth,yerkabuğu
crust,kabuk
crustacean,kabuklu
crustaceous,kabuklu
crusty,kabuklu
crutch,koltuk değneği
crux,sorunun merkezi/en önemli çekidi
cry down,kötülemek
cry for the moon,olmayacak şey istemek
cry off,sözünden dönmek
cry ones eyes out,hüngür hüngür ağlamak
cry ones heart out,hüngür hüngür ağlamak
cry out against,karşı gelmek
cry out for,şiddetle gereksinim duymak
cry out,haykırmak
cry over spilt milk,boşuna üzülmek
cry quits,yeter demek
cry wolf,kurt masalı okumak
cry,ağlamak, yüksek ses, seslenme, ağlama, (hayvan ve kuş) ses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crying,büyük
cryo,(önek) soğuk
cryogen,soğutucu kimyasal madde
cryogenic,kriyojenik
cryogenics,kriyojeni
cryohydrate,kriyohidrat
cryolite,kriyolit
cryometer,kriyometre
cryoscopic,kriyoskopik
cryoscopy,kriyoskopi
crypt,yeraltı türbesi
cryptic,gizli
crypto,(önek) gizli
cryptogam,çiçeksiz bitki
cryptogram,gizli yazı
cryptograph,kriptograf
cryptography,kriptografi
crystal lattice,kristal kafesi
crystal structure,kristal yapısı
crystal sugar,kristal şeker
crystal symmetry,kristal simetrisi
crystal,kristal
crystalline rock,billuri kayaç
crystalline structure,kristal yapı
crystallite,kristalit
crystallization,kristalleşme
crystallize,billurlaşmak
crystallizer,kristalizatör
crystallographic,kristalografik
crystallography,kristalografi
cub reporter,acemi gazeteci
cub,yavru ayı/aslan/kaplan/tilki
Cuba,Küba
cubage,küpleme
Cuban,Küba ile ilgili
cubature,küpleme
cube root,küpkök
cube,küp
cubic antenna,kübik anten
cubic centimetre,santimetre küp
cubic equation,üçüncü derecede denklem
cubic foot,fut küp
cubic meter,metre küp
cubic system,kübik jüye
cubic,küp biçiminde
cubical,küp şeklinde
cubicle,küçük oda
cubit,gez
cuckold,boynuzlu koca
cuckoldry,zina
cuckoo clock,guguklu saat
cuckoo,guguk kuşu
cucullate,külahlı
cucumber,salatalık
cud,geviş
cuddle up,birbirine sokulmak
cuddle,sarılmak
cuddly,insanın sarılası gelen
cuddy,küçük kamara
cudgel ones brains,kafa patlatmak
cudgel,kısa kalın sopa
cue,başlama işareti
cuff link,kol düğmesi
cuff,kolluk
cuirass,göğüslük zırh
cuisine,yemek pişirme yöntemi
cul-de-sac,çıkmaz sokak
cule,-cik
culinary,yemek pişirmeyle ilgili
cull,içinden en iyileri seçip ayırmak
cullender,bkz.colander
culm,eklemli ot sapı
culminate,(in ile) doruğuna yükselmek
culmination,doruk
culpability,suçluluk
culpable,suçlanmayı hakeden
culprit,sanık
cult,mezhep
cultivable,işlenebilir
cultivate a friendship,dostluk kazanmaya çalışmak
cultivate,toprağı işlemek
cultivated land,işlenmiş arazi
cultivated plant,kültür bitkisi
cultivated,kültürlü
cultivation,toprağı işleme
cultivator,kültivatör
cultural anthropology,kültürel antropoloji
cultural committee,kültür heyeti
cultural ecology,kültürel ekoloji
cultural heritage,kültürel miras
cultural language,kültür dili
cultural mission,kültür heyeti
cultural value,kültürel değer
cultural,kültürel
culture gap,kültür farkı
culture shock,kültür şoku
culture,kültür
cultured,kültürlü
culvert,ark
cum,(edat) ile
cumber,yük olmak
cumbersome,biçimsiz
cumin,kimyon
cummerbund,kemer
cumulative dividend,birikmiş kâr
cumulative,gittikçe artan
cumulonimbus,kümülonimbüs
cumulostratus,kümülostratüs
cumulus,kümülüs
cuneiform script,çivi yazısı
cuneiform,kama biçiminde
cunnilingus,ferce dil vurma
cunning,kurnaz
cunt,am
cup,fincan
cupboard,dolap
cupel,küçük pota
cupful,fincan dolusu
cupidity,açgözlülük
cupola furnace,kupol fırını
cupola,küçük kubbe
cupreous,bakırla ilgili
cupric,iki değerlikli bakırdan oluşmuş
cuprite,kuprit
cupro-nickel,nikel bakırı
cuprous sulphide,bakır sülfür
cuprous,bakırlı
cupule,kadehçik
cur,sokak köpeği
curable,iyileştirilebilir
curare,ok zehiri
curative,iyileştirici
curator,sanat galerisi/müze/kütüphane müdürü
curb,eğleç
curbstone,kaldırım kenar taşı
curd,kesmik
curdle,(süt) kesilmek
cure,(hastayı) iyileştirmek, ilaç, çare, iyileşme, iyi olma, şifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cure-all,her derde deva
cured cod,füme morina
curettage,kürtaj
curette,küret
curfew,sokağa çıkma yasağı
curie,küri
curing,eti tuzlama
curio,nadir ve değerli eşya
curiosity,bilseme
curious,meraklı
curium,küriyum
curl ones lip,dudak bükmek
curl sbs hair,birinin tüylerini diken diken etmek
curl up,kıvrılmak
curl,(saç) kıvırmak
curler,bigudi
curlew,çulluk
curling iron,saç maşası
curling,kıvırma
curly,kıvırcık
curly-top,cingelek baş hastalığı
curmudgeon,huysuz adam
currant,karagat
currency account,döviz hesabı
currency in circulation,dolaşımdaki para
currency indexed,dövize endeksli
currency inflation,para enflasyonu
currency issued,emisyon hacmi
currency reform,para reformu
currency risk,kur riski
currency system,para jüyesi
currency trade,döviz ticareti
currency unit,para birimi
currency,geçerlilik
current account,cari hesap
current capital,döner sermaye
current debt,cari borç
current density,akım yoğunluğu
current efficiency,akım verimi
current events,güncel olaylar
current exchange rate,cari kur
current expenditure,cari masraf
current expenses,günlük masraflar
current income,cari gelir
current liability,cari borç
current operations,cari işlemler
current payments,cari ödemeler
current price,cari fiyat
current ratio,cari oran
current value,rayiç değer
current,şimdiki
currently,halen
curriculum vitae,özgeçmiş
curriculum,müfredat bağdarlaması
currish,it gibi
curry favor with,gözüne girmeye çalışmak
curry favour with,yaltaklanmak
curry,(içinde et/yumurta/balık/vb.bulunan) acılı bir Hint yemeği
currycomb,kaşağı
curse,lanet
cursed,körolası
cursive,el yazısı
cursor,kürsör
cursorial,koşucu (kuş)
cursory,acele
curt,(söz) kısa
curtail step,birinci basamak
curtail,kısa kesmek
curtailment,kısma
curtain antenna,perde sırgavıl
curtain raiser,bağdarlamanın ilk kısmı
curtain ring,perde halkası
curtain rod,perde rayı
curtain,perde
curtness,terslik
curtsy,(kadınların yaptığı) reverans
curvaceous,biçimli
curvature,eğrilik derecesi
curve chart,eğri grafiği
curve,eğmek
curved line,eğri çizgi
curved,eğri
curvet,şaha kalkmak
curvilinear,eğrili
curvy,eğrili
cushion,minder
cushioning,tamponlama
cushy,rahat
cusp,doruk
cuspid,köpekdişi
cuspidate,dilimli
cuspidor,tükürük hokkası
cuss,herif
cussedness,terslik
custard apple,Hint ayvası
custard,muhallebi
custodian,(kütüphane/müze/vb.) sorumlu
custodianship,muhafaza hizmeti sağlama
custody,gözetim bakım
custom made,ısmarlama
custom union,gümrük anlaşması
custom,gelenek
customarily,alışıldığı gibi
customary,geleneksel
customer country,alıcı ülke
customer,alıcı
customer-oriented,müşteriye yönelik
customers account,müşteri hesabı
customize,müşteriye uydurmak
customs agent,gümrük komisyoncusu
customs and traditions,örf ve âdetler
customs area,gümrük bölgesi
customs barriers,gümrük duvarları
customs broker,gümrük komisyoncusu
customs declaration,gümrük beyannamesi
customs duty,gümrük resmi
customs entry,gümrük girişi
customs examiner,gümrük kontrolörü
customs formalities,gümrük işlemleri
customs free,gümrüksüz
customs house report,gümrük beyanı
customs house,gümrük idaresi
customs inspection,gümrük kontrolü
customs law,gümrük kanunu
customs of arrival,varış gümrüğü
customs officer,gümrük memuru
customs receipt,gümrük makbuzu
customs revenue,gümrük geliri
customs tariff,gümrük tarifesi
customs territory,gümrük bölgesi
customs union,gümrük birliği
customs wall,gümrük duvarı
customs walls,gümrük duvarları
customs,gümrük vergisi
cut a big swath,caka satmak
cut a tooth,diş çıkarmak
cut a wide swath,caka satmak
cut across,kestirmeden gitmek
cut adrift,akıntıya bırakmak
cut and dried,iç karartıcı
cut and run,sıvışmak
cut back,budamak
cut corners,kestirmeden gitmek
cut down on,indirmek
cut down,devirmek
cut in,müdahale etmek
cut into small pieces,küçük parçalara bölmek
cut into,azaltmak
cut loose,baskıdan kurtulmak
cut nail,döşemeci çivisi
cut no ice,önemli olmamak
cut off,kesmek
cut ones cables,bağları koparmak
cut ones coat according to ones cloth,ayağını yorganına göre uzatmak
cut ones eyeteeth on,saçını sakalını ağartmak
cut ones own throat,bindiği dalı kesmek
cut ones wisdom tooth,olgunlaşmak
cut oneself adrift,olayların gidişine kapılmak
cut out for sth,bir şey için biçilmiş kaftan
cut out the dead wood,ıskartaya çıkarmak
cut out,kesmek
cut sb dead,biriyle selamı sabahı kesmek
cut sb down to size,yüzünü yere getirmek
cut sb off with a shilling,birini mirastan yoksun etmek
cut sb to the quick,kalbini kırmak
cut short,kısa kesmek
cut stone,yontma taş
cut the cackle,kapa çeneni
cut the Gordian knot,düğümü çözmek
cut the ground from under sbs feet,ayağının altına karpuz kabuğu koymak
cut the painter,yuvadan ayrılmak
cut to the bone,iyice kısmak
cut up,doğramak
cut,kesmek, seyrekleştirmek, incitmek, kırmak, üzmek, asmak, kırmak, sapmak, aniden dönmek, yön değiştirmek, (plak) doldurmak, kesik, yarık, yara, dilim, parça, kısıntı, kesinti, azaltma, indirim, kesme, pay,,,,,,,,,,,,,,,,,,,
cut-price shop,ucuzcu dükkân
cut-price,ucuz
cut-rate,ucuz
cutaneous,derisel
cutback,indirim
cute,şirin
cuticle,tırnakların çevresindeki ölü deri
